修改日期      修改人  BUGID     修改文件名                       修改原因  
2007.11.21 xu_lw    0000137   所有文件                          替换log4j
2008.06.18 xu_lw    0000274   HiExpression                  增加取数据源的方式
2008.06.18 xu_lw    0000274   ASTIcsVarRef                  增加取数据源的方式
2008.06.18 xu_lw    0000274   ognl.jjt                      增加取数据源的方式
2008.06.18 xu_lw    0000274   ICSExpParser                  增加取数据源的方式
2008.06.18 xu_lw    0000274   ICSExpParserConstants         增加取数据源的方式
2008.06.18 xu_lw    0000274   ICSExpParserTokenManager      增加取数据源的方式
2008.06.18 xu_lw    0000274   ICSExpParserTreeConstants     增加取数据源的方式
2008.06.18 xu_lw    0000274   ICSExpParserVisitor           增加取数据源的方式
2008.06.26 xu_lw    0000274   HiExpUtil                     修改表达式接口为(HiMessageContext ctx, String[] args)
2008.07.30 xu_lw    0000274   HiExpFactory                  If表达式删除前后空格
2008.07.30 xu_lw    0000274   HiExpression                  如何取值为null，则值为空("")
2009.02.10 xu_lw              HiExpression                  修改MSG取值方式
