what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619344953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619344953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619345062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265619415718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265620088656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265620088671
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265620088781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265623276687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624263937
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624263937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624264062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624268421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624269390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624274171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624281343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624322375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624330171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624344593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624346109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624353390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624354375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624354375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624354484
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265624365781
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1265624370421
